runn, x, y, z 
79066, 0.867121, 5.937011, 25.489405 
79067, 0.867973, 5.936887, 25.645041 
79068, 0.849656, 5.939536, 25.914301 
79069, 0.793584, 5.947287, 26.386766 
79070, 0.876414, 5.935647, 27.150116 
79071, 0.903150, 5.931637, 28.314920 
79072, 0.930240, 5.927449, 29.934019 
79073, 0.921990, 5.928738, 32.072445 
79074, 0.935686, 5.926592, 34.610313 
79075, 0.926034, 5.928108, 36.562637 
79076, 0.914355, 5.929920, 37.899288 
79077, 0.939248, 5.926029, 38.767036 
79078, 0.962511, 5.922295, 39.409973 
79079, 0.965413, 5.921822, 39.905659 
79080, 0.947549, 5.924707, 40.249607 
79081, 0.948869, 5.924496, 40.455681 
79082, 0.949907, 5.924329, 40.610340 
79083, 0.678814, 5.961477, 25.575644 
79084, 0.679644, 5.961383, 25.724024 
79085, 0.661208, 5.963456, 25.980730 
79086, 0.606593, 5.969258, 26.431168 
79087, 0.688309, 5.960389, 27.158926 
79088, 0.716277, 5.957092, 28.269423 
79089, 0.739722, 5.954226, 29.813030 
79090, 0.730645, 5.955347, 31.851755 
79091, 0.743546, 5.953750, 34.271297 
79092, 0.732216, 5.955154, 36.132595 
79093, 0.722012, 5.956400, 37.406925 
79094, 0.747749, 5.953224, 38.234215 
79095, 0.771014, 5.950255, 38.847176 
79096, 0.774285, 5.949831, 39.319748 
79097, 0.756280, 5.952146, 39.647663 
79098, 0.758008, 5.951926, 39.844128 
79099, 0.759463, 5.951741, 39.991573 
79100, 0.247432, 5.994896, 26.051931 
79101, 0.248208, 5.994864, 26.193853 
79102, 0.229568, 5.995606, 26.439388 
79103, 0.178508, 5.997344, 26.870222 
79104, 0.257353, 5.994478, 27.566307 
79105, 0.288051, 5.993082, 28.628475 
79106, 0.303011, 5.992344, 30.104904 
79107, 0.292063, 5.992887, 32.054901 
79108, 0.303083, 5.992340, 34.369141 
79109, 0.287933, 5.993087, 36.149437 
79110, 0.281167, 5.993409, 37.368309 
79111, 0.308743, 5.992051, 38.159592 
79112, 0.331920, 5.990812, 38.745876 
79113, 0.336027, 5.990583, 39.197884 
79114, 0.317771, 5.991579, 39.511524 
79115, 0.320434, 5.991437, 39.699440 
79116, 0.322842, 5.991308, 39.840469 
79117, -0.565669, 5.973275, 25.222914 
79118, -0.565006, 5.973338, 25.373234 
79119, -0.583768, 5.971534, 25.633297 
79120, -0.627420, 5.967105, 26.089624 
79121, -0.555084, 5.974268, 26.826900 
79122, -0.519667, 5.977453, 27.951918 
79123, -0.520938, 5.977343, 29.515711 
79124, -0.535257, 5.976077, 31.581097 
79125, -0.527953, 5.976727, 34.032276 
79126, -0.550086, 5.974730, 35.917915 
79127, -0.550264, 5.974714, 37.208912 
79128, -0.519622, 5.977457, 38.047020 
79129, -0.496953, 5.979384, 38.667995 
79130, -0.491325, 5.979849, 39.146748 
79131, -0.509789, 5.978304, 39.478951 
79132, -0.505398, 5.978676, 39.677986 
79133, -0.501225, 5.979028, 39.827358 
79134, -1.592663, 5.784758, 25.077536 
79135, -1.592158, 5.784897, 25.227947 
79136, -1.610560, 5.779801, 25.488169 
79137, -1.643876, 5.770413, 25.944777 
79138, -1.581540, 5.787809, 26.682505 
79139, -1.541214, 5.798677, 27.808212 
79140, -1.562613, 5.792947, 29.372965 
79141, -1.580718, 5.788033, 31.439615 
79142, -1.578227, 5.788713, 33.892300 
79143, -1.608388, 5.780406, 35.779095 
79144, -1.600398, 5.782623, 37.070881 
79145, -1.566816, 5.791812, 37.909504 
79146, -1.545413, 5.797560, 38.530861 
79147, -1.538052, 5.799517, 39.009907 
79148, -1.556259, 5.794658, 39.342312 
79149, -1.549842, 5.796377, 39.541470 
79150, -1.543591, 5.798045, 39.690933 
79151, -2.663040, 5.376637, 25.028427 
79152, -2.662712, 5.376799, 25.179855 
79153, -2.680051, 5.368177, 25.441833 
79154, -2.701903, 5.357212, 25.901524 
79155, -2.651812, 5.382183, 26.644230 
79156, -2.608155, 5.403474, 27.777536 
79157, -2.648664, 5.383733, 29.352850 
79158, -2.669793, 5.373286, 31.433451 
79159, -2.672149, 5.372115, 33.902687 
79160, -2.709001, 5.353626, 35.802216 
79161, -2.693296, 5.361544, 37.102722 
79162, -2.658154, 5.379054, 37.947006 
79163, -2.638848, 5.388551, 38.572556 
79164, -2.630064, 5.392844, 39.054836 
79165, -2.647297, 5.384405, 39.389484 
79166, -2.639132, 5.388412, 39.589985 
79167, -2.631070, 5.392353, 39.740459 
79168, -3.522285, 4.857315, 24.685593 
79169, -3.522099, 4.857450, 24.838160 
79170, -3.537950, 4.845917, 25.102112 
79171, -3.550491, 4.836736, 25.565264 
79172, -3.511437, 4.865163, 26.313562 
79173, -3.467070, 4.896879, 27.455404 
79174, -3.520023, 4.858954, 29.042582 
79175, -3.542489, 4.842600, 31.138851 
79176, -3.548296, 4.838346, 33.626686 
79177, -3.588445, 4.808644, 35.540520 
79178, -3.567790, 4.823990, 36.850822 
79179, -3.532997, 4.849529, 37.701462 
79180, -3.516044, 4.861835, 38.331722 
79181, -3.506581, 4.868664, 38.817635 
79182, -3.522379, 4.857247, 39.154804 
79183, -3.513271, 4.863839, 39.356815 
79184, -3.504210, 4.870371, 39.508423 
79185, -4.356018, 4.126149, 24.538107 
79186, -4.355964, 4.126206, 24.691723 
79187, -4.369602, 4.111761, 24.957487 
79188, -4.373508, 4.107606, 25.423819 
79189, -4.346140, 4.136553, 26.177258 
79190, -4.303771, 4.180616, 27.326941 
79191, -4.364148, 4.117549, 28.925016 
79192, -4.386350, 4.093890, 31.035679 
79193, -4.394696, 4.084929, 33.540596 
79194, -4.435034, 4.041098, 35.467571 
79195, -4.411569, 4.066701, 36.786873 
79196, -4.379261, 4.101473, 37.643353 
79197, -4.365343, 4.116282, 38.277943 
79198, -4.355889, 4.126285, 38.767189 
79199, -4.369502, 4.111867, 39.106674 
79200, -4.360157, 4.121775, 39.310074 
79201, -4.350809, 4.131642, 39.462723 
79202, -4.986258, 3.337249, 24.795023 
79203, -4.986291, 3.337200, 24.949774 
79204, -4.997445, 3.320474, 25.217501 
79205, -4.995644, 3.323183, 25.687279 
79206, -4.977777, 3.349886, 26.446287 
79207, -4.939989, 3.405365, 27.604465 
79208, -5.000204, 3.316318, 29.214352 
79209, -5.020386, 3.285685, 31.340614 
79210, -5.029587, 3.271582, 33.864044 
79211, -5.066519, 3.214092, 35.805260 
79212, -5.043397, 3.250253, 37.134308 
79213, -5.015378, 3.293323, 37.997120 
79214, -5.004509, 3.309817, 38.636398 
79215, -4.995850, 3.322873, 39.129265 
79216, -5.006971, 3.306092, 39.471256 
79217, -4.998259, 3.319249, 39.676159 
79218, -4.989501, 3.332398, 39.829937 
79219, -5.419195, 2.575330, 24.654768 
79220, -5.419272, 2.575168, 24.806721 
79221, -5.427958, 2.556808, 25.069609 
