runn, x, y, z 
50689, -8.083513, 29.239992, 16.820286 
50690, -8.339233, 29.809179, 19.205603 
50691, -8.558992, 30.011269, 20.660154 
50692, -8.570894, 30.164608, 21.522612 
50693, -8.534341, 30.264408, 22.015099 
50694, -8.515942, 30.314339, 22.261568 
50695, -12.327380, 27.810640, 8.926751 
50696, -12.133859, 27.763760, 9.374131 
50697, -12.311461, 28.079235, 10.279933 
50698, -12.728829, 28.101608, 11.356049 
50699, -13.107247, 28.353788, 12.412009 
50700, -13.157891, 28.686996, 14.242881 
50701, -12.923070, 29.074224, 16.822489 
50702, -13.220115, 29.398085, 19.179428 
50703, -13.623447, 29.713785, 20.616676 
50704, -13.641921, 29.871101, 21.468872 
50705, -13.589509, 29.989508, 21.955500 
50706, -13.563103, 30.048725, 22.199038 
50707, -16.160151, 26.997974, 9.123908 
50708, -16.171902, 27.317720, 9.565679 
50709, -16.225014, 27.476284, 10.460125 
50710, -16.613386, 27.236498, 11.522749 
50711, -16.847078, 27.081533, 12.565471 
50712, -17.022612, 27.596857, 14.373388 
50713, -16.950899, 28.418930, 16.920656 
50714, -17.219759, 28.520557, 19.248045 
50715, -17.614925, 28.583426, 20.667274 
50716, -17.641188, 28.747885, 21.508785 
50717, -17.580032, 28.888210, 21.989313 
50718, -17.549183, 28.958382, 22.229797 
50719, -18.661095, 23.105850, 8.632711 
50720, -18.608625, 23.251665, 9.091849 
50721, -18.623693, 23.448780, 10.021460 
50722, -19.012100, 23.127562, 11.125860 
50723, -19.365520, 23.081844, 12.209575 
50724, -19.467037, 23.427666, 14.088569 
50725, -19.447510, 24.302521, 16.735979 
50726, -19.874205, 24.505154, 19.154867 
50727, -20.185112, 24.327013, 20.629892 
50728, -20.225483, 24.493309, 21.504486 
50729, -20.168369, 24.653963, 22.003904 
50730, -20.265728, 24.889408, 22.253843 
50731, -20.967438, 19.349789, 8.729960 
50732, -20.946217, 19.486719, 9.183670 
50733, -20.934175, 19.729155, 10.102289 
50734, -21.452456, 19.443022, 11.193631 
50735, -21.658365, 19.187645, 12.264533 
50736, -21.784243, 19.523129, 14.121310 
