runn, x, y, z 
67275, -5.809268, -1.502502, 24.909657 
67276, -5.804489, -1.523305, 25.097181 
67277, -5.809783, -1.507059, 25.405100 
67278, -5.810360, -1.511388, 25.902571 
67279, -5.796199, -1.574750, 26.686546 
67280, -5.803283, -1.564262, 27.923607 
67281, -5.830993, -1.483118, 29.809057 
67282, -5.814242, -1.580670, 32.411751 
67283, -5.806859, -1.637002, 34.801727 
67284, -5.829852, -1.574847, 36.500687 
67285, -5.841775, -1.545328, 37.676369 
67286, -5.837899, -1.570486, 38.503391 
67287, -5.833677, -1.592945, 39.047131 
67288, -5.828730, -1.615443, 39.408649 
67289, -5.828973, -1.616930, 39.599396 
67290, -5.829153, -1.618032, 39.740685 
67291, -5.774152, -1.630695, 24.916607 
67292, -5.768323, -1.651194, 25.102818 
67293, -5.772746, -1.635666, 25.408575 
67294, -5.771486, -1.640107, 25.902555 
67295, -5.753724, -1.701370, 26.681032 
67296, -5.757408, -1.688862, 27.909414 
67297, -5.780478, -1.608126, 29.781639 
67298, -5.753541, -1.701990, 32.366074 
67299, -5.737855, -1.754143, 34.739288 
67300, -5.755959, -1.693795, 36.426331 
67301, -5.764689, -1.663837, 37.593765 
67302, -5.757963, -1.686968, 38.414986 
67303, -5.752031, -1.707084, 38.954910 
67304, -5.745417, -1.729214, 39.313892 
67305, -5.745032, -1.730493, 39.503304 
67306, -5.744747, -1.731441, 39.643600 
67307, -5.697628, -1.880702, 24.934502 
67308, -5.690925, -1.900889, 25.124296 
67309, -5.695458, -1.887262, 25.435938 
67310, -5.693650, -1.892709, 25.939423 
67311, -5.673866, -1.951216, 26.732878 
67312, -5.678781, -1.936866, 27.984898 
67313, -5.704503, -1.859743, 29.893145 
67314, -5.673870, -1.951205, 32.527309 
67315, -5.656927, -1.999795, 34.946186 
67316, -5.675936, -1.945185, 36.665688 
67317, -5.685862, -1.915978, 37.855587 
67318, -5.678782, -1.936861, 38.692608 
67319, -5.673023, -1.953665, 39.242924 
67320, -5.665284, -1.975996, 39.608810 
67321, -5.664857, -1.977218, 39.801868 
67322, -5.664542, -1.978121, 39.944866 
67323, -5.580900, -2.334718, 24.859201 
67324, -5.572045, -2.354177, 25.045013 
67325, -5.575486, -2.343385, 25.350115 
67326, -5.570941, -2.349933, 25.843037 
67327, -5.545519, -2.402789, 26.619843 
67328, -5.549314, -2.383648, 27.845591 
67329, -5.573508, -2.310256, 29.713800 
67330, -5.528588, -2.394166, 32.292690 
67331, -5.502779, -2.433396, 34.660816 
67332, -5.517153, -2.386489, 36.344238 
67333, -5.525518, -2.357148, 37.509171 
67334, -5.515735, -2.373029, 38.328629 
67335, -5.509300, -2.383399, 38.867397 
67336, -5.498389, -2.405477, 39.225605 
67337, -5.497322, -2.406339, 39.414612 
67338, -5.496531, -2.406979, 39.554607 
67339, -5.147434, -3.084497, 24.811483 
67340, -5.137640, -3.103187, 24.999304 
67341, -5.142130, -3.099693, 25.307707 
67342, -5.139028, -3.111203, 25.805962 
67343, -5.116567, -3.157905, 26.591173 
67344, -5.137176, -3.140008, 27.830181 
67345, -5.183039, -3.088187, 29.718603 
67346, -5.150609, -3.174959, 32.325397 
67347, -5.144771, -3.214391, 34.719139 
67348, -5.171175, -3.193213, 36.420776 
67349, -5.193216, -3.172206, 37.598312 
67350, -5.191681, -3.185207, 38.426636 
67351, -5.193963, -3.188376, 38.971233 
67352, -5.181942, -3.212425, 39.333317 
67353, -5.182437, -3.214022, 39.524368 
67354, -5.182806, -3.215205, 39.665878 
67355, -4.438101, -4.038361, 24.781353 
67356, -4.424487, -4.054192, 24.968519 
67357, -4.423335, -4.056958, 25.275846 
67358, -4.413328, -4.070273, 25.772362 
67359, -4.386458, -4.103017, 26.554834 
67360, -4.413772, -4.079660, 27.789520 
67361, -4.456017, -4.042776, 29.671354 
67362, -4.404645, -4.111330, 32.269054 
67363, -4.394923, -4.133285, 34.654446 
67364, -4.404500, -4.131307, 36.350147 
67365, -4.426186, -4.113788, 37.523575 
67366, -4.426517, -4.117455, 38.349010 
67367, -4.436839, -4.108981, 38.891705 
67368, -4.417936, -4.131052, 39.252529 
67369, -4.417788, -4.132135, 39.442913 
67370, -4.417678, -4.132937, 39.583931 
67371, -3.585028, -4.811193, 24.949009 
67372, -3.568423, -4.823522, 25.135542 
67373, -3.559824, -4.829871, 25.441826 
67374, -3.542475, -4.842610, 25.936659 
67375, -3.515540, -4.862199, 26.716478 
67376, -3.551940, -4.835671, 27.946981 
67377, -3.587178, -4.809590, 29.822435 
67378, -3.523008, -4.856791, 32.411331 
67379, -3.515461, -4.862256, 34.788639 
67380, -3.503380, -4.870968, 36.478588 
67381, -3.524331, -4.855831, 37.648041 
67382, -3.529622, -4.851986, 38.470676 
67383, -3.551647, -4.835886, 39.011536 
67384, -3.526474, -4.854274, 39.371136 
67385, -3.525909, -4.854684, 39.560875 
67386, -3.525491, -4.854989, 39.701412 
67387, -2.467804, -5.468998, 25.023546 
67388, -2.449126, -5.477388, 25.206879 
67389, -2.431263, -5.485340, 25.507912 
67390, -2.406448, -5.496272, 25.994255 
67391, -2.385151, -5.505548, 26.760700 
67392, -2.436080, -5.483203, 27.970097 
67393, -2.463991, -5.470717, 29.813383 
67394, -2.396600, -5.500574, 32.357872 
67395, -2.401729, -5.498336, 34.694405 
67396, -2.364434, -5.514476, 36.355370 
67397, -2.386548, -5.504942, 37.504765 
67398, -2.401824, -5.498294, 38.313290 
67399, -2.441376, -5.480847, 38.844872 
67400, -2.410420, -5.494531, 39.198303 
67401, -2.409975, -5.494727, 39.384785 
67402, -2.409645, -5.494872, 39.522915 
67403, -1.263407, -5.865476, 25.400648 
67404, -1.243581, -5.869711, 25.587009 
67405, -1.215954, -5.875496, 25.893013 
67406, -1.184034, -5.882012, 26.387390 
67407, -1.170915, -5.884637, 27.166492 
67408, -1.235533, -5.871410, 28.395863 
67409, -1.252757, -5.867759, 30.269590 
