runn, x, y, z 
99164, 0.680409, -5.975399, 40.257416 
99165, 0.683157, -5.974897, 40.475693 
99166, 0.686863, -5.974217, 40.770332 
99167, 0.712765, -5.970739, 41.282475 
99168, 0.779420, -5.961767, 42.018612 
99169, 0.752472, -5.964314, 43.074745 
99170, 0.576687, -5.982548, 44.607029 
99171, 0.524508, -5.985586, 46.650948 
99172, 0.595111, -5.976970, 48.978989 
99173, 0.502227, -5.983758, 50.989933 
99174, 0.524276, -5.980484, 52.593288 
99175, 0.560661, -5.976120, 53.826462 
99176, 0.494275, -5.981189, 54.740078 
99177, 0.463069, -5.983125, 55.391022 
99178, 0.448417, -5.983850, 55.845692 
99179, 0.820562, -5.943999, 56.145176 
99180, 0.861566, -5.938035, 56.328953 
99181, 0.882470, -5.934856, 56.454075 
99182, 1.128334, -5.894345, 40.434166 
99183, 1.130804, -5.893854, 40.641258 
99184, 1.134132, -5.893189, 40.920799 
99185, 1.157947, -5.888512, 41.406696 
99186, 1.217023, -5.876523, 42.105110 
99187, 1.188131, -5.882342, 43.107124 
99188, 1.023417, -5.913094, 44.560883 
99189, 0.974223, -5.921224, 46.500061 
99190, 1.044953, -5.908953, 48.708797 
99191, 0.954319, -5.924095, 50.616692 
99192, 0.979037, -5.919924, 52.137886 
99193, 1.016008, -5.913586, 53.307865 
99194, 0.953956, -5.923835, 54.174660 
99195, 0.923479, -5.928607, 54.792248 
99196, 0.907265, -5.931071, 55.223618 
99197, 1.250443, -5.868290, 55.507755 
99198, 1.288390, -5.860060, 55.682114 
99199, 1.307718, -5.855766, 55.800823 
99200, 1.863682, -5.717069, 40.209656 
99201, 1.865610, -5.716256, 40.417088 
99202, 1.868207, -5.715157, 40.697086 
99203, 1.888311, -5.708111, 41.183784 
99204, 1.934562, -5.691975, 41.883347 
99205, 1.902419, -5.701900, 42.887005 
99206, 1.756272, -5.747304, 44.343155 
99207, 1.711661, -5.759027, 46.285519 
99208, 1.781092, -5.735968, 48.497887 
99209, 1.694426, -5.760472, 50.408916 
99210, 1.722620, -5.750754, 51.932610 
99211, 1.759667, -5.738485, 53.104511 
99212, 1.705058, -5.754179, 53.972733 
99213, 1.675954, -5.762175, 54.591335 
99214, 1.657314, -5.767183, 55.023415 
99215, 1.949754, -5.674737, 55.308018 
99216, 1.982300, -5.663293, 55.482662 
99217, 1.998839, -5.657370, 55.601566 
99218, 2.578928, -5.445751, 39.888863 
99219, 2.580269, -5.444738, 40.101925 
99220, 2.582073, -5.443372, 40.389519 
99221, 2.598244, -5.434784, 40.889423 
99222, 2.631561, -5.417449, 41.607964 
99223, 2.596755, -5.432388, 42.638855 
99224, 2.470259, -5.488436, 44.134514 
99225, 2.430333, -5.502736, 46.129581 
99226, 2.496809, -5.468890, 48.401978 
99227, 2.415029, -5.502056, 50.364857 
99228, 2.445629, -5.485776, 51.929893 
99229, 2.481805, -5.467386, 53.133591 
99230, 2.434985, -5.486835, 54.025368 
99231, 2.407578, -5.497804, 54.660755 
99232, 2.386925, -5.506027, 55.104557 
99233, 2.626698, -5.395236, 55.396885 
99234, 2.653627, -5.381721, 55.576267 
99235, 2.667269, -5.374755, 55.698399 
99236, 3.383370, -4.958325, 40.158173 
99237, 3.384256, -4.957678, 40.371338 
99238, 3.385446, -4.956807, 40.659069 
99239, 3.397348, -4.948555, 41.159210 
99240, 3.416435, -4.935249, 41.878098 
99241, 3.381048, -4.959349, 42.909481 
99242, 3.281435, -5.025514, 44.405857 
99243, 3.249847, -5.045599, 46.401875 
99244, 3.313218, -5.003756, 48.675362 
99245, 3.241261, -5.050272, 50.639179 
99246, 3.275030, -5.028124, 52.204964 
99247, 3.310325, -5.004715, 53.409241 
99248, 3.274226, -5.028227, 54.301445 
99249, 3.250118, -5.043716, 54.937134 
99250, 3.228355, -5.057585, 55.381149 
99251, 3.404709, -4.940527, 55.673615 
99252, 3.425041, -4.926417, 55.853085 
99253, 3.435317, -4.919231, 55.975273 
99254, 4.091349, -4.422891, 39.930260 
99255, 4.091550, -4.422249, 40.144917 
99256, 4.091818, -4.421385, 40.434669 
99257, 4.099347, -4.413333, 40.938320 
99258, 4.105861, -4.405729, 41.662247 
99259, 4.069682, -4.436973, 42.700867 
99260, 3.991926, -4.503916, 44.207733 
99261, 3.965077, -4.523401, 46.217754 
99262, 4.020719, -4.469212, 48.507183 
99263, 3.956158, -4.522362, 50.484779 
99264, 3.989002, -4.490129, 52.061546 
99265, 4.020625, -4.459287, 53.274265 
99266, 3.992911, -4.482243, 54.172729 
99267, 3.971394, -4.499986, 54.812878 
99268, 3.948988, -4.518734, 55.260006 
99269, 4.069376, -4.410005, 55.554523 
99270, 4.083619, -4.396434, 55.735252 
99271, 4.090753, -4.389534, 55.858299 
99272, 4.793471, -3.628371, 39.895542 
99273, 4.793326, -3.628301, 40.110149 
99274, 4.793128, -3.628208, 40.399830 
