name, function, par0, par1, par2, parerr1, 2, 3
fpar, [0]+[1]*(x-[2])*(x-[2]), 154.613, 0.0123299, 5, 0.0562199, 0.000206506, 0
fpar2, pol2, 157.308, -0.407294, 0.0198466, 0.275702, 0.0322717, 0.000877059
fexp, pol0(0)+expo(1), 154.755, -2.06746, 0.143189, 0.155318, 0.28005, 0.00957505
