run, evt, int, seg, x, y, z, e
111, 1, 1, 15, -27.62, -4.05, 27.70,   26.26
111, 2, 1, 15, -27.62, -4.05, 27.70,   26.26
111, 3, 1, 15, -27.62, -4.05, 27.70,   26.26
111, 1, 1, 15, -27.64, -4.04, 27.75,   26.27
111, 2, 1, 15, -27.64, -4.04, 27.75,   26.27
111, 3, 1, 15, -27.64, -4.04, 27.75,   26.27
