runnum, segnum, evtnum, avex, avey, avez, aveE
142150, 15, 3, -18.110218, 11.567580, 33.601574, 2.798362
142160, 15, 3, -11.289838, 3.402832, 27.136740, 2.766601
142160, 15, 3, -13.161359, 3.710274, 32.522864, 2.786242
142161, 15, 3, -13.884034, 5.000104, 32.505094, 2.763016
143143, 9, 3, -18.854942, 9.497492, 23.393970, 3.562326
143148, 9, 3, -22.288877, 7.240579, 18.866096, 2.771011
143148, 9, 3, -16.382514, 6.174435, 21.318953, 2.877866
143149, 9, 3, -22.871770, 5.786700, 26.343856, 2.376814
143150, 9, 3, -17.378903, 6.307391, 25.981859, 3.448163
143160, 9, 3, -18.460647, 11.764385, 18.748505, 2.697566
143160, 9, 3, -12.843117, 5.836247, 24.381530, 2.886572
143161, 9, 3, -13.365398, 5.965960, 26.393763, 2.858891
143148, 15, 3, -16.934680, 3.662425, 25.629438, 2.770254
143148, 15, 3, -21.818328, 1.611243, 27.632412, 2.787212
143149, 15, 3, -21.782112, 2.606316, 30.028368, 2.771962
143150, 15, 3, -22.578126, 4.381853, 30.927336, 2.788115
143160, 15, 3, -13.400839, 2.600290, 25.177998, 3.470056
143160, 15, 3, -18.261085, 0.227188, 26.698313, 2.732617
143161, 15, 3, -18.240406, 2.989164, 31.963491, 2.738914
148148, 9, 3, -16.911895, 1.822772, 23.676249, 2.334331
148149, 9, 3, -24.346598, 0.954576, 20.682149, 2.371408
148150, 9, 3, -15.358937, 0.355967, 27.228657, 3.489547
148160, 9, 3, -15.203591, 3.535029, 22.398679, 2.748189
148160, 9, 3, -10.604655, 0.661542, 23.701026, 2.890266
148161, 9, 3, -11.289607, 1.082201, 26.990918, 3.444210
148149, 15, 3, -17.864623, 2.212112, 27.260619, 2.778741
148150, 15, 3, -17.942093, 5.464414, 29.914511, 2.783672
148160, 15, 3, -11.423297, 0.363729, 27.091206, 3.506172
148160, 15, 3, -12.693708, 0.442690, 27.437134, 2.791898
148161, 15, 3, -13.509355, 0.589774, 30.185748, 2.754504
149150, 15, 3, -18.622374, 1.995904, 32.060464, 2.783813
149160, 15, 3, -11.732282, -0.222526, 27.027765, 2.737350
149160, 15, 3, -13.191390, 0.412277, 29.451671, 2.766968
149161, 15, 3, -13.621808, 0.467920, 32.372562, 2.745733
150160, 15, 3, -13.712469, 3.476091, 31.551036, 2.352252
150160, 15, 3, -13.636210, 3.193154, 31.299580, 2.776856
150161, 15, 3, -14.265383, 3.425089, 33.892108, 2.740554
160160, 9, 3, -7.521871, 0.252759, 26.490721, 2.867291
160161, 9, 3, -8.379517, 0.219498, 28.496699, 3.547973
160161, 15, 3, -8.823030, 0.072671, 33.503875, 2.782433
