ratioindex, numpos, num1mm, num2mm, num5mm, num2hits, ratio numpos, ratio num1mm, ratio num2mm, ratio num5mm, ratio num2hits
0, 10000, 424, 593, 760, 697, 100, 4.24, 5.93, 7.6, 6.97
1, 10000, 4763, 5508, 6203, 3575, 100, 47.63, 55.08, 62.03, 35.75
2, 10000, 238, 1003, 2135, 1444, 100, 2.38, 10.03, 21.35, 14.44
3, 10000, 264, 1040, 2121, 1418, 100, 2.64, 10.4, 21.21, 14.18
4, 10000, 4739, 5457, 6113, 3543, 100, 47.39, 54.57, 61.13, 35.43
5, 10000, 407, 547, 709, 645, 100, 4.07, 5.47, 7.09, 6.45
